year,category,n_companies,avgFee,hourlyRate,estimatedHours,treat,post2020,did,year_c,log_avgFee,log_hourlyRate,log_estimatedHours
2013,CompanyAct,5555.0,10835.0,12536.0,864.3107849393746,0,0,0,-3,9.29053691397046,9.436359784035856,6.761932408916739
2014,CompanyAct,5539.0,10924.0,12301.0,888.057881473051,0,0,0,-2,9.298717482593595,9.417435838868785,6.789036922706948
2015,CompanyAct,5653.0,11032.0,12126.0,909.7806366485238,0,0,0,-1,9.308555419473137,9.403107186631676,6.813203511823599
2016,CompanyAct,5698.0,11397.0,11992.0,950.3835890593729,0,0,0,0,9.341105441855735,9.391995039782433,6.856865681055439
2017,CompanyAct,5762.0,11863.0,12233.0,969.7539442491621,0,0,0,1,9.381179591661104,9.411892497046916,6.877042373596324
2018,CompanyAct,5782.0,12442.0,12578.0,989.1874701860391,0,0,0,2,9.428833125074965,9.439704535103449,6.896883868953654
2019,CompanyAct,5916.0,12937.0,12660.0,1021.8799368088468,0,0,0,3,9.467846701917901,9.446202695698167,6.929399285201872
2020,CompanyAct,5981.0,13487.0,12725.0,1059.8821218074656,0,1,0,4,9.509481537516857,9.451323841418724,6.965912975080271
2021,CompanyAct,6033.0,13843.0,12961.0,1068.0503047604352,0,1,0,5,9.535534968687735,9.469700127423375,6.973590120246497
2022,CompanyAct,6043.0,14618.0,12906.0,1132.6514799318147,0,1,0,6,9.590008925040337,9.465447598495786,7.032316605526689
2023,CompanyAct,6118.0,15430.0,12958.0,1190.7701805834233,0,1,0,7,9.644068945357207,9.469468637009902,7.082355587329441
2013,FIEA_Consol,3154.0,46098.0,12012.0,3837.6623376623374,1,0,0,-3,10.73852484409569,9.39366142910322,8.252618693974606
2014,FIEA_Consol,3208.0,45808.0,11845.0,3867.285774588434,1,0,0,-2,10.732214027337896,9.379661116592885,8.260308189727148
2015,FIEA_Consol,3229.0,47065.0,11670.0,4032.9905741216794,1,0,0,-1,10.759284903981321,9.364776725280601,8.302263457682855
2016,FIEA_Consol,3253.0,48470.0,11488.0,4219.1852367688025,1,0,0,0,10.788700328839422,9.349058291288005,8.347397316533554
2017,FIEA_Consol,3284.0,49259.0,11852.0,4156.17617279784,1,0,0,1,10.804847371021863,9.380251908693456,8.332350741310544
2018,FIEA_Consol,3287.0,50871.0,11943.0,4259.482542074856,1,0,0,2,10.837048295575237,9.387900611668426,8.356902962888947
2019,FIEA_Consol,3364.0,52385.0,11929.0,4391.399111409171,1,0,0,3,10.866375569787065,9.386727689281946,8.387403159487256
2020,FIEA_Consol,3450.0,52717.0,11870.0,4441.1962931760745,1,1,1,4,10.872693263156664,9.381769487603714,8.398679054535089
2021,FIEA_Consol,3471.0,53841.0,11983.0,4493.115246599349,1,1,1,5,10.893790537697386,9.391244257682517,8.410301558997007
2022,FIEA_Consol,3495.0,55426.0,11923.0,4648.662249433867,1,1,1,6,10.92280407672139,9.386224586806131,8.444334768897395
2023,FIEA_Consol,3513.0,57642.0,12088.0,4768.530774321642,1,1,1,7,10.962006747637794,9.399968503952575,8.469793522667356
2013,FIEA_Indiv,668.0,17132.0,11520.0,1487.1527777777778,1,0,0,-3,9.748703338735261,9.351839934249883,7.304618683467517
2014,FIEA_Indiv,659.0,17249.0,11356.0,1518.9327227897147,1,0,0,-2,9.755509449764629,9.337501517592862,7.325763211153904
2015,FIEA_Indiv,658.0,17410.0,11013.0,1580.8589848361028,1,0,0,-1,9.764800032762235,9.306831672164943,7.365723639579428
2016,FIEA_Indiv,648.0,17559.0,10773.0,1629.908103592314,1,0,0,0,9.773321917959331,9.284798282894192,7.396278914047275
2017,FIEA_Indiv,653.0,17047.0,11057.0,1541.7382653522654,1,0,0,1,9.743729514150925,9.310818990542401,7.34066580259066
2018,FIEA_Indiv,660.0,17465.0,11264.0,1550.5149147727273,1,0,0,2,9.767954157240933,9.329367078397823,7.346342357825246
2019,FIEA_Indiv,660.0,17817.0,11373.0,1566.6051173832761,1,0,0,3,9.78790833668397,9.338997404184445,7.356666211481662
2020,FIEA_Indiv,675.0,18457.0,11127.0,1658.7579760941853,1,1,1,4,9.823198981307291,9.3171298661577,7.413824394131728
2021,FIEA_Indiv,697.0,19258.0,11248.0,1712.126600284495,1,1,1,5,9.86568183780023,9.327945614050446,7.44549150273192
2022,FIEA_Indiv,706.0,19795.0,11247.0,1760.0248955276963,1,1,1,6,9.89318465954023,9.327856705404022,7.473083233118347
2023,FIEA_Indiv,710.0,19886.0,11284.0,1762.3183268344558,1,1,1,7,9.897771245540019,9.331141072121888,7.474385452400269
